Board No.,Time Processed,Nodes Visited,Best Move,Best Score
1,0.8121986000332981,1850,d6d1,1018
2,0.3321732999756932,730,f8h7,-544
3,0.08610860002227128,182,f7f8q,10000
4,0.8342337999492884,1981,h4g3,995
5,0.9503171000396833,2094,b4b5,356
6,1.7553727000486106,3898,g7f8n,1674
7,4.332401400082745,4803,e7e6,884
8,3.5276850999798626,4994,e7e8q,1711
9,1.377479700022377,2102,h4h5,527
10,0.47605030005797744,1002,f7f8q,-183
11,0.08619719999842346,151,b2b8,10000
12,0.9158037999877706,1890,g4h5,-1408
13,0.36442120000720024,659,h8h7,-165
14,1.7551460000686347,3933,c6b7,1191
15,0.30788800003938377,718,a6f1,-421
16,0.610591399949044,1619,f3f4,-654
17,2.297898399992846,4715,f7f8q,1306
18,1.1059294000733644,2099,e4g2,1007
19,0.7660584000404924,1531,f3c3,619
20,0.01014780008699745,16,g7g8q,10000
21,0.6430561000015587,963,b5b1,-483
22,0.859842799953185,1660,a7b8q,-729
23,1.04484769992996,1803,b4d3,-438
24,1.325181599939242,2231,b7c7,1732
25,2.021823800052516,4345,c7b7,978
26,0.31433079997077584,672,d5e6,-716
27,0.05459970002993941,118,f2f6,10000
28,0.555171399959363,1267,e3c2,364
29,2.3508813999360427,4887,f6f7,1556
30,0.37801690003834665,343,f8e8,-864
31,4.743022399954498,3222,b5c3,1183
32,0.7972552001010627,837,e6e7,-284
33,1.7278994000516832,1932,d6a6,-855
34,0.247058599954471,352,d7d8q,-610
35,0.5107388999313116,586,b7b8q,-378
36,0.8537476999917999,1005,e2f3,-860
37,1.287366300006397,1616,f7e7,1544
38,1.6450910000130534,1855,d4d8,437
39,0.7749328999780118,929,f5e4,358
40,1.474698800011538,2683,e7e8q,569
41,1.1568448999896646,2315,g7d4,770
42,1.1590182000072673,2248,g5e7,615
43,0.35213220003060997,573,h8c3,761
44,0.2534734000219032,478,e7f5,-137
45,0.2571945999516174,404,h3g4,-10000
46,1.1500735000008717,2008,h6b6,-937
47,0.37624339992180467,761,h7g5,-231
48,0.9326863000169396,1970,e4f5,-704
49,2.343951700022444,4849,e7e8q,2719
50,0.6691338000819087,1516,g7h8,368
