Board No.,Time Processed,Nodes Visited,Best Move
1,0.8540161999408156,1976,d6d1
2,0.24184979998972267,587,f8h7
3,0.11067470000125468,227,f7f8q
4,0.8546458000782877,2273,h4g3
5,0.4422291999217123,947,b4b5
6,1.975400900002569,4473,g7f8n
7,1.9371520000277087,4455,e7e6
8,1.2174395999172702,2924,e7e8q
9,1.002391100046225,2361,h4h5
10,0.3121749999700114,789,f7f8q
11,0.04897760006133467,95,b2b8
12,1.4612341000465676,3926,f2e3
13,0.23219030001200736,517,h8h7
14,1.6971273999661207,4312,c6c7
15,0.36532440001610667,914,a6f1
16,0.7233984000049531,1971,f3f4
17,0.72720060008578,1516,f7f8q
18,0.35445889993570745,772,e4g2
19,0.8509085000259802,1805,f3c3
20,0.00222979998216033,6,h6f6
21,0.4200898000271991,869,b5b1
22,0.5893239000579342,1552,a7b8q
23,0.47549929993692786,988,b4d3
24,0.9278952999738976,2133,b7c7
25,1.7347165000392124,3823,c7b7
26,0.2824547999771312,652,d5e6
27,0.10365589999128133,194,f2f6
28,0.7150513000087813,1597,e3c2
29,2.5160405000206083,5812,f6f7
30,0.24003099999390543,504,f8e8
31,1.6133199000032619,3664,b5c3
32,1.0012470999499783,3092,e6e7
33,0.7984991000266746,1870,d6a6
34,0.09998599998652935,255,d7d8q
35,0.31855119997635484,701,b7b8q
36,0.44212629995308816,987,e2f3
37,0.6508844000054523,1598,f7e7
38,0.7686417000368237,1956,d4d8
39,0.2833697999594733,548,f5e4
40,0.9695047000423074,2547,e7e8q
41,1.128860400058329,2605,g7d4
42,1.169973500072956,2706,g5e7
43,0.5509002000326291,1263,h8c3
44,0.33816939999815077,823,e7f5
45,0.07358640001621097,181,g2g4
46,1.152349999989383,2367,h6b6
47,0.29928430006839335,723,h7g5
48,0.5679637999273837,1277,e4f5
49,2.773391399998218,6568,e7e8q
50,0.29398160008713603,681,g7h8
